OTU_ID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-0.22	10-20-3
060a41f2fe00db83a5f383c6d0c7c90e	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	9	0	0
0a95a791a90c04a038f3d3e71ed2064b	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	14	0	0
0f3e2d2003b6646b8019b4765658c85d	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	26	0	0
18100a59c7c5e99d864f5058168e81ef	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	38	0	0
1e5a800989f68d49fffc4805ce128ace	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	53	0	0
2082cb690d119bc96ce38a66b6415965	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	6	0	0	0	0
2a7fc66495a199799c4d2c08ed747f3c	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	0	14	0
2e30145a698eb25a0c0dfa9705c0ab32	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	0	15	0
2f52bfb075d038a1b72a4dd9d53a01e8	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	10	0	261	0	0
33710095af4d10c80e36a6e6cb82bae3	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	9	7	0	189	0	0
34178fed607a631f7a37c6b2b70ca571	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	134	0	0
34765bff257ad8fdd4e7893ba7e5c0b0	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	1	0	0
3a9e3efa6d0f0df69668b602c9bac618	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	135	7	0
411a28ea92c9fe5ae24a1149940319df	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	7	0	0	0	0
4864a5d7c12b6b395d68a06bc5bd0854	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	13	0	0
5d9c8af2f6a20888621ccca9ee9d21c8	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	50	0	0
63d26ad2038d07c1957402f8153bdb3f	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	4	0	0	0	0	0
75549981911a6cb5fe1cdf04b9f25a59	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	35	0	0
798b53de4779d7cf1d35a46fe2128be3	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	18	0	0
7b5eb7a6e221ee46e0ba62078ea09b15	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	2	0	0	0	0	0
898849b247cc4f8cee76f39db6c9b2bb	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	62	0	0
9322e2a316dc758f6141b297c4f2aab1	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	29	0	0
93b6b43a49e4c1ebc897331dad7e1a15	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	38	0	0
