OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-0.22	10-20-3
00232f374cfc930f3fffbaef0d0c6d80	Bacteria	Proteobacteria	Gammaproteobacteria	HgCo23	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	0	0	9	0	0	0
00713acdc5483c168999109394c7cff7	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	Blastocatella bacterium	56	69	37	0	0	0
00c4c1c65d8669ed9f07abe149f9a01d	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116 clade	OCS116 clade bacterium	OCS116 clade bacterium	0	0	0	50	0	0
014f58766f882e0c98eabd33229e9da9	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	uncultured	uncultured delta proteobacterium	0	9	0	0	0	0
01677752b1ecceb552fd3cb185a26bdb	Bacteria	Acidobacteria	Subgroup 6	Subgroup 6 bacterium	Subgroup 6 bacterium	Subgroup 6 bacterium	Subgroup 6 bacterium	12	0	0	0	0	0
0225d05bb66c5a547c8ae332bc9534eb	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured marine bacterium	0	13	0	0	0	0
023508b3d98703578691529c14d1aab2	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	0	0	0	0	190	0
0369ed25113dc257ea5bed8edc5bfd9d	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	0	0	0	0	101	0
038d60fb14879bfb6c909d0bfe8c8940	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade bacterium	SAR202 clade bacterium	SAR202 clade bacterium	0	0	7	0	0	0
03ab93d845083373ace598d92ee9765a	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	uncultured Owenweeksia sp.	0	0	0	34	0	0
03c5273acf49d5f662eaf4346fc47bb0	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Ambiguous_taxa	Ambiguous_taxa	0	0	0	0	6	0
04a47212749ae920d5426a2650d9f8e4	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	marine metagenome	marine metagenome	marine metagenome	0	0	0	23	0	0
