# Constructed from biom file							
#OTU ID	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-0.22	10-20-3	taxonomy
e9f376c867c2a1506d5b0996f9839a20	15	38	0	2887	4786	3	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
2d05b66143f31175c4d6c3eeadc010d2	3081	3157	2256	141	0	9	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Paucibacter
af3ad5293c445ffbfc757ad1c9de296b	0	0	0	0	36	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Moraxellaceae; D_5__Acinetobacter
d089e76cb77366eba904ed413876e849	0	0	0	1337	1980	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
67c219dd54817c53f58880534a725dee	239	180	17	0	14	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Marinobacteraceae; D_5__Marinobacter
fd3fea7c47fc64073cab7999d71a5c99	0	0	0	0	1638	0	D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Actinomarinales; D_4__Actinomarinaceae; D_5__Candidatus Actinomarina; Ambiguous_taxa
0e775fc1584ed21db02c44461c5e120e	0	0	0	295	1178	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I; D_5__Clade Ia
20a0d2f150b3312772f5c00e54fd7baf	0	0	0	420	0	0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__NS2b marine group
1169e4a9b8791b0ba26c062c610fed24	0	0	0	0	34	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Alteromonadaceae; D_5__Alteromonas
fcf11ec8b80994412cebcb3c12ac3d58	319	80	23	44	9	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Alcanivoracaceae; D_5__Alcanivorax; D_6__uncultured Alcanivorax sp.
1ce3b5c6d85ce967f8677e23e3e9b0be	0	0	0	309	816	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I; D_5__Clade Ia
86cd70d2450e3f44f4a7c543f53008ee	0	30	0	2209	0	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
9b6a7459b2c92cee0abfc36d503488b7	37	25	0	0	67	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Caulobacterales; D_4__Caulobacteraceae; D_5__Brevundimonas
8e8c9fdc7c501094f3925d17e4ab91b0	0	0	0	105	99	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
77ad962abeadf0133594754f4c7ce61a	0	0	0	0	43	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Pseudoalteromonadaceae; D_5__Pseudoalteromonas
13eea987393ec9079bd9805404f0d4b3	0	0	0	122	1030	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I
401a67858704d406087efd35334e84e1	0	0	30	231	396	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade II
8d13a21c6fa4455824b63ed8431a8141	0	0	0	0	310	0	D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Actinomarinales; D_4__Actinomarinaceae; D_5__Candidatus Actinomarina
0b1c2b9ed02095f223b442c9bdd35006	0	0	0	18	1120	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodospirillales; D_4__AEGEAN-169 marine group; D_5__uncultured marine bacterium; D_6__uncultured marine bacterium
12410564eef73c3c877af2b6ea638ba2	0	0	10	553	0	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
a594a2db0ceea408a3931a4465c05420	111	91	20	35	5	0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Corynebacteriales; D_4__Nocardiaceae; D_5__Rhodococcus
4f8257e5a38397d186bc493c97412d42	0	0	0	50	531	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I
ba8f8478ff34b713883204780a8871bb	293	245	183	15	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Variovorax; Ambiguous_taxa
5cb1250cec910e6819b838249878d53a	0	0	253	96	327	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I
33710095af4d10c80e36a6e6cb82bae3	9	7	0	189	0	0	Kingdom.Eukaryota; Supergroup.Archaeplastida; Phylum.Streptophyta; Class.Embryophyceae; Subclass.rosids; Order.Malpighiales; Suborder.Malpighiales_X
912dc151e3ecdf57069e8103e82ca984	0	0	0	175	221	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
8852e538212c224726292171f3bd4859	0	0	0	141	128	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Puniceispirillales; D_4__SAR116 clade; D_5__marine metagenome; D_6__marine metagenome
165d53a3627c5b13dc0e4d43a9585b35	0	0	0	116	0	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
a5fc3a36aa370971626c2ee6bfe5fef9	148	0	14	0	6	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Halomonadaceae; D_5__Halomonas
a0f65691fe0f63902306b39a88d3faa2	186	210	164	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Cupriavidus; Ambiguous_taxa
25b1587f9d2ce6a2f046e92cd496599d	0	0	0	70	0	0	D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Pirellulales; D_4__Pirellulaceae; D_5__Pirellula
e152c17bdbb4e1af93c0180b1fccc627	0	0	0	32	131	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__uncultured
a31465b4de932854f00f3d97f5adb362	0	0	0	216	22	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__uncultured; D_6__uncultured Rhodobacteraceae bacterium
44369269b45b7e1a562a501cea30045e	0	0	0	280	117	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
ad7a812323880fdbfb5bb08777efac8e	0	0	0	236	88	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
18100a59c7c5e99d864f5058168e81ef	0	0	0	38	0	0	Kingdom.Eukaryota; Supergroup.Archaeplastida; Phylum.Streptophyta; Class.Embryophyceae; Subclass.rosids; Order.Malpighiales; Suborder.Malpighiales_X
f4ad315ec51d8bee23cb39f39bc8b019	0	0	0	79	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__SAR86 clade; D_4__Rhodobacteraceae bacterium REDSEA-S29_B10; D_5__Rhodobacteraceae bacterium REDSEA-S29_B10; D_6__Rhodobacteraceae bacterium REDSEA-S29_B10
5cadb906e927ec37f15cd2b07b7d9da3	0	0	0	185	241	0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
a8910605d89c2fed06d7f463b2246695	66	45	0	139	178	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I
